id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
3253,2015-01-01,,One year,Yes,Credit card (automatic),20.55,1252.0,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,0
3255,2019-12-01,2020-01-01,Month-to-month,No,Bank transfer (automatic),29.95,29.95,DSL,No,Yes,No,No,No,No,Female,0,No,No,No,1
3257,2020-01-01,,Month-to-month,No,Mailed check,45.3,45.3,DSL,No,No,No,No,No,No,Female,0,No,No,No,0
3259,2019-02-01,2019-10-01,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Fiber optic,No,No,No,No,No,Yes,Male,0,No,No,Yes,1
3261,2017-05-01,,One year,No,Credit card (automatic),74.75,2453.3,DSL,Yes,No,Yes,No,Yes,Yes,Male,0,Yes,Yes,No,0
3263,2018-09-01,2019-10-01,Month-to-month,Yes,Electronic check,79.25,1111.65,Fiber optic,No,Yes,Yes,No,No,No,Female,0,No,No,No,1
3265,2019-10-01,2019-11-01,Month-to-month,Yes,Electronic check,24.8,24.8,DSL,No,No,No,No,No,No,Female,0,Yes,No,No,1
3267,2018-06-01,,Month-to-month,Yes,Mailed check,51.8,1023.85,DSL,No,Yes,No,No,No,No,Male,0,No,No,No,0
3269,2019-11-01,,Month-to-month,No,Electronic check,30.4,82.15,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,0
3271,2019-01-01,,One year,No,Electronic check,19.65,244.8,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
3272,2016-10-01,,Month-to-month,No,Credit card (automatic),56.6,2379.1,DSL,No,Yes,No,No,No,No,Female,0,Yes,No,Yes,0
3274,2016-07-01,,One year,Yes,Credit card (automatic),71.9,3173.35,DSL,Yes,No,No,Yes,No,Yes,Male,0,Yes,Yes,Yes,0
3276,2019-07-01,2020-01-01,Month-to-month,Yes,Electronic check,91.0,531.0,Fiber optic,No,Yes,Yes,No,No,Yes,Male,0,Yes,No,No,1
3278,2014-05-01,,Two year,No,Bank transfer (automatic),19.75,1375.4,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
3280,2014-02-01,,Two year,No,Credit card (automatic),109.7,8129.3,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
3282,2015-03-01,,Two year,No,Credit card (automatic),19.3,1192.7,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
3283,2018-06-01,,Month-to-month,Yes,Electronic check,96.55,1901.65,Fiber optic,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,No,No,0
3286,2018-02-01,,Two year,Yes,Bank transfer (automatic),24.1,587.4,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0
3287,2015-03-01,,Month-to-month,Yes,Electronic check,111.35,6519.75,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,0
3289,2014-02-01,,Two year,Yes,Bank transfer (automatic),112.25,8041.65,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
3291,2020-01-01,,Month-to-month,No,Mailed check,20.75,20.75,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,0
3293,2017-11-01,,One year,Yes,Credit card (automatic),101.9,2681.15,Fiber optic,Yes,No,No,Yes,Yes,Yes,Female,0,Yes,No,No,0
3295,2018-12-01,,Month-to-month,Yes,Credit card (automatic),80.05,1112.3,Fiber optic,No,Yes,No,Yes,No,No,Female,0,No,No,No,0
3297,2014-03-01,,Two year,No,Electronic check,105.55,7405.5,Fiber optic,Yes,No,Yes,No,Yes,Yes,Male,0,Yes,Yes,Yes,0
3299,2019-01-01,,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,Fiber optic,No,No,No,No,Yes,No,Male,0,No,Yes,No,0
3301,2016-06-01,,Month-to-month,No,Credit card (automatic),68.85,2958.95,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
3303,2017-05-01,,One year,Yes,Bank transfer (automatic),79.95,2684.85,Fiber optic,No,Yes,No,Yes,No,No,Female,0,No,No,No,0
3305,2014-02-01,,Two year,Yes,Credit card (automatic),55.45,4179.2,DSL,Yes,Yes,Yes,Yes,No,Yes,Male,0,Yes,Yes,No,0
3307,2019-12-01,2020-01-01,Month-to-month,No,Electronic check,79.9,79.9,Fiber optic,No,No,No,No,No,Yes,Male,0,No,No,No,1
3309,2018-06-01,2020-01-01,Month-to-month,Yes,Electronic check,106.6,1934.45,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Female,0,No,No,No,1
3311,2014-10-01,,One year,Yes,Credit card (automatic),102.45,6654.1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,No,0
3313,2019-10-01,2019-12-01,Month-to-month,Yes,Credit card (automatic),46.0,84.5,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
3315,2020-01-01,,Month-to-month,No,Electronic check,25.25,25.25,DSL,No,No,No,No,No,No,Female,0,No,No,No,0
3317,2015-01-01,,Two year,No,Mailed check,19.75,1124.2,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,0
3319,2017-09-01,,One year,No,Electronic check,20.0,540.05,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
3321,2018-03-01,,Month-to-month,No,Electronic check,86.8,1975.85,Fiber optic,No,No,No,No,No,Yes,Male,1,Yes,No,Yes,0
3323,2015-05-01,,Month-to-month,Yes,Bank transfer (automatic),58.75,3437.45,DSL,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,No,No,0
3325,2014-02-01,,Two year,No,Credit card (automatic),45.25,3139.8,DSL,Yes,Yes,Yes,Yes,No,No,Male,0,Yes,Yes,No,0
3327,2014-08-01,,Two year,Yes,Bank transfer (automatic),56.6,3789.2,DSL,Yes,Yes,Yes,Yes,Yes,No,Male,0,Yes,No,No,0
3329,2014-09-01,,Two year,Yes,Bank transfer (automatic),84.2,5324.5,DSL,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
3331,2019-06-01,,Month-to-month,Yes,Bank transfer (automatic),80.0,624.6,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,No,0
3333,2019-09-01,2020-01-01,Month-to-month,Yes,Electronic check,70.15,268.35,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
3335,2014-03-01,,Two year,No,Bank transfer (automatic),24.75,1836.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,Yes,0
3337,2020-01-01,,One year,Yes,Electronic check,20.2,20.2,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
3339,2019-07-01,2019-11-01,Month-to-month,No,Mailed check,50.05,179.35,DSL,No,No,No,Yes,No,No,Male,0,Yes,No,No,1
3341,2019-02-01,,One year,Yes,Bank transfer (automatic),19.35,219.35,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
3343,2018-02-01,,One year,Yes,Mailed check,50.6,1288.75,DSL,Yes,No,No,No,Yes,Yes,Male,0,No,No,No,0
3345,2017-07-01,,One year,Yes,Mailed check,81.15,2545.75,DSL,Yes,No,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
3347,2019-12-01,2020-01-01,Month-to-month,No,Mailed check,55.2,55.2,DSL,No,No,No,No,Yes,No,Female,0,Yes,No,No,1
3349,2017-08-01,,Month-to-month,Yes,Credit card (automatic),89.9,2723.15,Fiber optic,No,No,No,Yes,No,Yes,Male,0,No,No,Yes,0
3351,2016-03-01,,Two year,Yes,Credit card (automatic),85.3,4107.25,DSL,Yes,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
3353,2015-08-01,,Two year,Yes,Credit card (automatic),108.0,5760.65,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Male,0,No,No,Yes,0
3355,2015-12-01,,Month-to-month,Yes,Credit card (automatic),93.5,4747.5,Fiber optic,Yes,Yes,No,Yes,No,Yes,Male,0,No,No,No,0
3357,2019-10-01,2019-11-01,Month-to-month,Yes,Mailed check,84.6,84.6,Fiber optic,Yes,No,No,No,No,Yes,Male,0,No,No,No,1
3359,2014-02-01,,Two year,No,Credit card (automatic),20.25,1566.9,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
3361,2017-09-01,,Month-to-month,No,Electronic check,25.15,702.0,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
3363,2019-10-01,2019-12-01,Month-to-month,Yes,Mailed check,54.4,114.1,DSL,No,Yes,No,No,No,No,Male,0,No,No,Yes,1
3365,2019-04-01,,Two year,Yes,Mailed check,29.6,299.05,DSL,No,No,No,Yes,No,No,Female,0,No,No,No,0
3367,2018-08-01,,Month-to-month,Yes,Electronic check,73.15,1305.95,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,Yes,0
3369,2018-12-01,2019-11-01,Month-to-month,Yes,Electronic check,95.0,1120.3,Fiber optic,No,Yes,No,No,Yes,Yes,Female,1,No,No,No,1
3371,2018-10-01,,Two year,No,Mailed check,19.75,284.35,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
3373,2014-02-01,,Two year,No,Bank transfer (automatic),86.6,6350.5,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,0
3375,2014-02-01,,Two year,No,Bank transfer (automatic),109.2,7878.3,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,0
3377,2016-09-01,,One year,Yes,Credit card (automatic),74.7,3187.65,DSL,Yes,No,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
3379,2014-09-01,,Month-to-month,No,Electronic check,94.4,6126.15,Fiber optic,Yes,Yes,Yes,No,No,Yes,Female,1,Yes,No,No,0
3381,2019-01-01,,Month-to-month,Yes,Electronic check,54.8,731.3,DSL,No,Yes,Yes,No,No,No,Female,1,No,No,No,0
3383,2019-10-01,,Month-to-month,No,Electronic check,75.35,273.4,Fiber optic,Yes,No,No,No,No,No,Male,1,No,No,No,0
3385,2016-09-01,,One year,No,Mailed check,65.0,2531.8,DSL,No,No,Yes,No,No,Yes,Male,0,No,No,Yes,0
3387,2018-10-01,2020-01-01,Month-to-month,Yes,Electronic check,74.4,1074.3,Fiber optic,No,Yes,No,No,No,No,Male,1,No,No,No,1
3389,2019-09-01,2019-10-01,Month-to-month,Yes,Mailed check,48.55,48.55,DSL,Yes,No,No,No,No,No,Male,0,No,No,No,1
3391,2016-08-01,,One year,Yes,Electronic check,99.0,4298.45,Fiber optic,Yes,Yes,Yes,No,No,Yes,Male,0,No,No,Yes,0
3393,2015-11-01,,One year,Yes,Electronic check,93.5,4619.55,Fiber optic,Yes,Yes,Yes,No,Yes,No,Female,0,Yes,No,No,0
3395,2019-09-01,2019-11-01,Month-to-month,No,Electronic check,70.4,147.15,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,1
3397,2019-11-01,2019-12-01,Month-to-month,No,Electronic check,40.2,40.2,DSL,No,Yes,No,No,Yes,No,Male,1,Yes,No,No,1
3399,2017-06-01,,One year,No,Credit card (automatic),83.7,2633.3,DSL,No,Yes,Yes,Yes,Yes,Yes,Male,0,No,Yes,Yes,0
3401,2019-04-01,,Month-to-month,Yes,Mailed check,19.85,193.05,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
3403,2014-07-01,,Two year,Yes,Electronic check,59.55,4103.9,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
3405,2015-01-01,,Two year,No,Credit card (automatic),115.1,7008.15,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
3407,2015-12-01,,One year,No,Credit card (automatic),114.35,5791.1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,0
3408,2019-08-01,2019-10-01,Month-to-month,Yes,Credit card (automatic),44.6,80.55,DSL,No,No,No,No,No,No,Female,0,Yes,No,No,1
3410,2017-09-01,,Month-to-month,Yes,Electronic check,45.0,1228.65,DSL,Yes,No,Yes,No,No,Yes,Female,1,Yes,No,No,0
3412,2019-08-01,2019-11-01,Month-to-month,Yes,Electronic check,41.15,132.2,DSL,No,No,Yes,No,No,Yes,Male,1,No,No,No,1
3414,2018-12-01,2020-01-01,Month-to-month,Yes,Electronic check,106.9,1364.3,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,1,No,No,Yes,1
3416,2015-05-01,,Month-to-month,Yes,Electronic check,89.85,4925.35,Fiber optic,No,Yes,No,No,No,Yes,Male,1,Yes,No,Yes,0
3418,2017-07-01,,Two year,Yes,Bank transfer (automatic),49.85,1520.1,DSL,Yes,Yes,No,Yes,No,Yes,Female,0,No,No,No,0
3420,2016-05-01,,One year,No,Mailed check,113.3,5032.25,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
3422,2015-01-01,,Two year,No,Mailed check,88.1,5526.75,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
3424,2015-12-01,,Two year,No,Bank transfer (automatic),24.9,1195.25,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,0
3426,2018-07-01,,Month-to-month,Yes,Mailed check,105.0,2007.25,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Female,1,No,No,No,0
3428,2015-02-01,2020-01-01,Two year,No,Mailed check,19.35,1099.6,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
3430,2014-03-01,,Two year,Yes,Credit card (automatic),24.25,1732.95,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,Yes,0
3431,2018-06-01,2019-10-01,Month-to-month,Yes,Electronic check,94.45,1511.2,Fiber optic,No,No,No,Yes,Yes,Yes,Female,1,No,No,No,1
3432,2015-05-01,,Two year,Yes,Electronic check,59.75,3450.15,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,No,No,0
3435,2019-11-01,2019-12-01,Month-to-month,No,Bank transfer (automatic),24.8,24.8,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
3437,2018-06-01,,Month-to-month,No,Electronic check,107.05,2172.05,Fiber optic,No,Yes,No,Yes,Yes,Yes,Male,1,Yes,No,Yes,0
3439,2019-12-01,2020-01-01,Month-to-month,No,Mailed check,70.6,70.6,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
3441,2019-05-01,2019-10-01,Month-to-month,Yes,Electronic check,85.4,401.1,Fiber optic,No,Yes,No,Yes,No,No,Male,0,Yes,No,Yes,1
3443,2015-09-01,2020-01-01,Month-to-month,Yes,Electronic check,105.05,5624.85,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,1
3445,2018-05-01,,Month-to-month,Yes,Bank transfer (automatic),64.95,1339.8,DSL,Yes,Yes,No,No,No,Yes,Male,1,Yes,No,No,0
3447,2018-12-01,,Month-to-month,Yes,Electronic check,55.0,771.95,DSL,No,No,Yes,Yes,Yes,Yes,Male,0,No,No,No,0
3449,2019-09-01,,Month-to-month,No,Bank transfer (automatic),50.55,244.75,DSL,No,Yes,No,No,No,No,Female,0,No,No,No,0
3451,2019-08-01,,Month-to-month,No,Mailed check,55.15,322.9,DSL,Yes,Yes,No,No,No,No,Female,0,No,No,No,0
3453,2019-04-01,,Month-to-month,No,Electronic check,51.2,498.25,DSL,No,Yes,No,No,No,No,Female,0,No,No,No,0
3455,2020-01-01,,Month-to-month,No,Mailed check,25.4,25.4,Fiber optic,No,No,No,No,No,No,Female,0,No,Yes,Yes,0
3457,2014-06-01,,Month-to-month,No,Mailed check,54.45,3687.75,DSL,Yes,No,No,No,No,No,Female,0,No,No,Yes,0
3459,2018-06-01,2019-12-01,Month-to-month,No,Mailed check,95.15,1779.95,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,Yes,Yes,No,1
3461,2018-04-01,,One year,Yes,Credit card (automatic),76.0,1783.6,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
3463,2018-06-01,,Month-to-month,Yes,Electronic check,44.35,927.15,DSL,No,No,No,No,No,No,Female,0,No,No,No,0
3465,2019-09-01,2019-10-01,Month-to-month,No,Electronic check,70.0,70.0,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,1
3467,2019-02-01,2019-10-01,Month-to-month,Yes,Electronic check,74.5,606.55,Fiber optic,No,Yes,No,No,No,No,Male,1,No,No,No,1
3469,2019-03-01,2020-01-01,Month-to-month,Yes,Credit card (automatic),44.85,435.4,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
3471,2017-11-01,2019-11-01,Month-to-month,Yes,Electronic check,76.1,1712.7,Fiber optic,No,No,No,No,No,No,Male,1,No,No,Yes,1
3473,2017-03-01,,One year,No,Mailed check,61.2,2021.2,DSL,Yes,Yes,Yes,No,No,No,Male,0,No,No,No,0
3475,2018-03-01,,One year,No,Mailed check,86.8,1940.8,Fiber optic,No,Yes,Yes,Yes,No,No,Male,0,Yes,Yes,No,0
3477,2019-08-01,,Month-to-month,Yes,Electronic check,89.35,567.8,Fiber optic,No,No,No,No,Yes,Yes,Female,1,No,No,No,0
3479,2019-02-01,,Month-to-month,No,Mailed check,19.7,220.35,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
3481,2020-01-01,,Month-to-month,No,Mailed check,20.25,20.25,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
3483,2014-03-01,,Two year,No,Electronic check,76.05,5436.45,Fiber optic,No,No,Yes,No,No,No,Female,0,Yes,Yes,No,0
3485,2017-03-01,,Month-to-month,Yes,Electronic check,100.8,3437.5,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,0
3487,2016-10-01,,Month-to-month,Yes,Electronic check,74.55,3015.75,DSL,No,No,Yes,No,Yes,Yes,Male,0,Yes,Yes,Yes,0
3489,2019-11-01,2019-12-01,Month-to-month,Yes,Mailed check,73.6,73.6,Fiber optic,Yes,No,No,No,No,No,Female,0,No,Yes,No,1
3491,2018-03-01,,One year,Yes,Bank transfer (automatic),64.9,1509.8,DSL,No,No,No,No,Yes,Yes,Male,0,No,No,No,0
3494,2019-06-01,2019-10-01,Month-to-month,Yes,Electronic check,95.45,396.1,Fiber optic,No,No,No,No,Yes,Yes,Female,1,No,No,Yes,1
3496,2019-10-01,,Month-to-month,Yes,Electronic check,90.4,356.65,Fiber optic,No,No,Yes,Yes,No,Yes,Male,0,No,No,No,0
3498,2014-06-01,,Two year,No,Credit card (automatic),60.3,4109.0,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
3500,2016-12-01,,Month-to-month,Yes,Mailed check,81.85,3141.7,Fiber optic,No,Yes,No,No,No,No,Male,0,No,Yes,Yes,0
3502,2015-10-01,,Two year,No,Mailed check,24.8,1229.1,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0
3504,2017-04-01,2019-12-01,Month-to-month,Yes,Electronic check,74.9,2303.35,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,Yes,1
3506,2017-09-01,,Two year,No,Mailed check,75.55,2054.4,DSL,No,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
3508,2016-12-01,,Month-to-month,No,Electronic check,101.15,3741.85,Fiber optic,No,Yes,No,No,Yes,Yes,Male,1,Yes,Yes,Yes,0
3510,2016-02-01,,One year,Yes,Credit card (automatic),78.75,3682.45,DSL,Yes,No,Yes,No,Yes,Yes,Male,0,No,Yes,Yes,0
3512,2020-01-01,,Month-to-month,Yes,Bank transfer (automatic),19.25,19.25,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
3514,2018-04-01,,Month-to-month,Yes,Electronic check,89.05,1886.25,Fiber optic,Yes,No,No,Yes,No,Yes,Female,0,No,No,No,0
3516,2016-07-01,,Two year,No,Credit card (automatic),115.05,4895.1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,0
3518,2019-09-01,,Month-to-month,Yes,Electronic check,69.35,341.6,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,No,0
3520,2019-05-01,2019-10-01,Month-to-month,Yes,Electronic check,80.6,415.55,Fiber optic,No,No,No,No,Yes,No,Male,0,No,No,No,1
3522,2015-11-01,,One year,No,Credit card (automatic),110.05,5686.4,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
3524,2014-03-01,,Two year,Yes,Credit card (automatic),19.9,1355.1,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
3526,2016-08-01,2019-10-01,One year,No,Credit card (automatic),80.3,3058.65,DSL,Yes,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,1
3528,2017-12-01,2019-12-01,Month-to-month,Yes,Electronic check,93.15,2231.05,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,Yes,No,No,1
3530,2017-03-01,,Month-to-month,Yes,Credit card (automatic),91.5,3236.35,Fiber optic,No,No,No,Yes,Yes,No,Male,0,Yes,No,Yes,0
3532,2015-05-01,2019-11-01,One year,No,Bank transfer (automatic),82.45,4350.1,DSL,Yes,Yes,No,Yes,Yes,Yes,Female,1,No,No,Yes,1
3534,2014-02-01,,Two year,Yes,Electronic check,60.0,4264.0,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
3536,2020-01-01,,Month-to-month,Yes,Electronic check,44.8,44.8,DSL,No,No,No,No,No,No,Male,0,No,No,No,0
3538,2019-05-01,,One year,No,Mailed check,48.6,422.3,DSL,Yes,No,No,No,No,No,Female,0,Yes,Yes,No,0
3540,2014-05-01,,Two year,Yes,Bank transfer (automatic),60.05,4176.7,DSL,Yes,Yes,No,Yes,Yes,Yes,Male,0,No,No,No,0
3542,2015-10-01,,Month-to-month,Yes,Credit card (automatic),102.7,5138.1,Fiber optic,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
3544,2019-03-01,,Month-to-month,Yes,Electronic check,82.9,880.05,Fiber optic,No,No,No,Yes,Yes,No,Female,1,Yes,No,No,0
3546,2019-10-01,2019-12-01,Month-to-month,Yes,Electronic check,70.35,139.05,Fiber optic,No,No,No,No,No,No,Female,1,No,No,No,1
3547,2017-10-01,,Month-to-month,Yes,Electronic check,35.9,973.65,DSL,No,No,No,No,Yes,No,Female,1,Yes,Yes,No,0
3549,2018-09-01,,Month-to-month,Yes,Credit card (automatic),82.65,1470.05,Fiber optic,No,No,Yes,No,No,No,Female,1,No,No,Yes,0
3551,2017-03-01,,Two year,Yes,Mailed check,19.85,739.35,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
3553,2019-06-01,,One year,Yes,Mailed check,19.2,161.95,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
3555,2016-04-01,,One year,Yes,Credit card (automatic),94.9,4422.95,Fiber optic,No,Yes,Yes,No,Yes,No,Male,0,No,No,Yes,0
3557,2019-05-01,2019-12-01,Month-to-month,Yes,Electronic check,73.85,511.25,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,1
3559,2019-10-01,2019-12-01,Month-to-month,No,Mailed check,80.6,155.8,Fiber optic,No,No,Yes,No,No,No,Female,0,No,No,Yes,1
3561,2014-03-01,2019-11-01,One year,Yes,Bank transfer (automatic),75.8,5293.95,DSL,No,Yes,Yes,Yes,No,Yes,Male,0,Yes,Yes,Yes,1
3563,2016-05-01,2019-12-01,Two year,Yes,Electronic check,104.6,4759.85,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,1
3565,2014-06-01,,Two year,Yes,Electronic check,88.15,6148.45,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,0
3567,2017-02-01,,Month-to-month,Yes,Credit card (automatic),94.8,3565.65,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,No,No,No,0
3569,2014-09-01,2019-12-01,Month-to-month,Yes,Electronic check,103.4,6603.0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,1
3571,2017-06-01,,Month-to-month,No,Bank transfer (automatic),54.65,1830.1,DSL,No,Yes,No,Yes,No,No,Female,1,No,No,No,0
3573,2014-03-01,,Two year,No,Credit card (automatic),85.75,6223.8,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
3575,2014-08-01,,Month-to-month,Yes,Bank transfer (automatic),67.45,4508.65,DSL,Yes,Yes,Yes,No,No,No,Female,0,Yes,Yes,Yes,0
3577,2014-11-01,,One year,No,Mailed check,20.5,1328.15,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
3579,2016-09-01,,One year,Yes,Credit card (automatic),20.25,865.0,Fiber optic,No,No,No,No,No,No,Female,0,No,Yes,No,0
3581,2020-01-01,,Month-to-month,Yes,Electronic check,72.1,72.1,Fiber optic,No,No,No,No,No,No,Female,1,No,No,Yes,0
3583,2019-11-01,2020-01-01,Month-to-month,Yes,Electronic check,90.4,168.2,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,No,1
3585,2014-04-01,,Two year,No,Bank transfer (automatic),19.45,1303.5,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,0
3587,2018-03-01,,Month-to-month,Yes,Electronic check,44.95,996.85,DSL,No,No,No,No,Yes,Yes,Female,0,No,No,No,0
3589,2014-10-01,,One year,No,Bank transfer (automatic),97.0,6430.9,Fiber optic,Yes,Yes,Yes,No,No,Yes,Female,1,Yes,No,No,0
3591,2017-01-01,,Two year,Yes,Credit card (automatic),62.8,2278.75,DSL,Yes,No,Yes,Yes,No,No,Male,0,Yes,Yes,Yes,0
3593,2018-09-01,,One year,No,Mailed check,44.6,681.4,DSL,No,No,No,No,No,No,Male,0,No,Yes,No,0
3595,2019-07-01,,Month-to-month,Yes,Electronic check,89.15,574.35,Fiber optic,No,No,No,No,Yes,Yes,Female,1,No,No,No,0
3597,2019-07-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Fiber optic,No,Yes,Yes,No,No,No,Male,0,Yes,Yes,Yes,1
3599,2018-04-01,2020-01-01,Month-to-month,Yes,Electronic check,41.9,840.1,DSL,Yes,No,No,No,Yes,No,Female,1,No,No,No,1
3601,2019-01-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,No,1
3603,2018-10-01,,Month-to-month,Yes,Electronic check,54.1,889.0,DSL,Yes,No,No,No,No,No,Female,1,No,No,Yes,0
3605,2014-10-01,,Two year,Yes,Electronic check,105.25,6823.4,Fiber optic,No,Yes,No,Yes,Yes,Yes,Male,0,Yes,No,Yes,0
3607,2017-10-01,2020-01-01,Month-to-month,No,Credit card (automatic),30.75,805.1,DSL,Yes,No,No,No,No,No,Male,1,Yes,No,No,1
3609,2016-08-01,,One year,No,Electronic check,97.1,4016.75,Fiber optic,Yes,No,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,0
3611,2019-09-01,,Month-to-month,No,Mailed check,20.2,83.75,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,0
3613,2016-09-01,,Two year,Yes,Bank transfer (automatic),98.8,3959.15,Fiber optic,No,Yes,No,Yes,Yes,Yes,Female,0,No,No,No,0
3615,2015-04-01,,One year,No,Credit card (automatic),50.3,2878.55,DSL,No,No,Yes,No,No,No,Male,0,Yes,No,No,0
3617,2016-03-01,,Two year,Yes,Mailed check,20.55,945.7,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
